Asset_Num,Serial_Number,Description,BU,BL,Asset_Life,Acquired,Acquisition_Cost,Total_Depn_Value,NBV,Current_Location,Type
F-GEN-N0630-0026,G12015936,Generator 630 KVA  - Volvo Diesel with Canopy,KIU,SWT,120,9/1/2012,"76,000.00","76,000.00",0.00,Murtaka Base,Generator
G-FTR-AASWT-0009,201134004/Chasis No. 056//RJ-09 GB/4444,Trailer for SWT Process,KIU,SWT,120,6/1/2012,"750,000.00","581,599.76","168,400.24",,Separator Trailer
I-SEP-H0314-0009,SEPL-U24,Separator 3 Phase 1440 psi,KIU,SWT,120,6/1/2012,"745,378.05","584,025.08","161,352.97",Murtaka Base,Separator
I-SEP-H0314-0008,SEPL-U28,Separator 3 Phase 1440 psi,KIU,SWT,120,6/1/2012,"690,934.07","556,488.18","134,445.89",DNO P-13,Separator
I-SEP-H0321-0022,sepl-192-11NB/N115,Separator 3 Phase 2160 psi,CEU,SWT,120,6/1/2012,"612,339.43","491,427.86","120,911.57",Murtaka Base,Separator
I-SEP-H0321-0023,sepl- 191-11 NB/N 114,Separator 3 Phase 2160 psi,KIU,SWT,120,6/1/2012,"612,339.43","491,427.86","120,911.57",Murtaka Base,Separator
I-DFL-AAAAA-0007,1258,"6"" Flame Arrestor NACE, 150 CLASS with 4"" 602 weco connection",KIU,SWT,120,4/1/2019,"5,564.76",463.66,"5,101.10",Murtaka Base,Flame arrestor
I-MPM-H5005-0005,OSMPFM-06 / EM2213-14,Multiphase Flow Meter 50 mm,KIU,SWT,120,2/1/2015,"342,388.00","185,964.87","156,423.13",Old Base,MPFM
I-SEP-H0314-0018,U39/SWT-SEP-004,Separator 3 Phase 1440 psi (Mounted on Trailer),KIU,SWT,120,11/1/2011,"325,000.00","283,581.09","41,418.91",Murtaka Base,Separator
F-AIC-AAAAA-0007,COMP-110861,Air Compressor 185 CFM,KIU,SWT,120,6/1/2012,"35,000.00","27,141.04","7,858.96",Murtaka Base,Air Compressor
I-SEP-H0314-0027,J12042-001/FFZ-970,Separator 3 Phase 1440 psi,KIU,SWT,120,7/1/2014,"296,963.06","173,266.25","123,696.81",Old Base,Separator
I-SEP-H0314-0029,SEPL-7206/SEPL-N03/SWT-SEP-009,Separator 3 Phase 1440 psi,KIU,SWT,120,9/1/2013,"293,459.94","199,126.91","94,333.03",Murtaka Base,Separator
I-TPT-AAATM-0006,F0513-21386/SWT-TTP-006,Transfer Pump Triplex 10000 BPD (Mounted on Trailer),KIU,SWT,120,7/20/2010,"250,425.69","238,071.49","12,354.20",,Triplex Pump
F-AIC-AAAAA-0111,CAI 1638866,Air Compressor Atlas Copco Model: GX7FF-500 With Integrated Dryer and 500 Litres tank,KIU,SWT,120,12/1/2013,"8,194.75","6,712.28","1,482.47",Murtaka Base,Air Compressor
I-INH-H0410-0009,J13020-001/IHT6287-88/SWT-IHT-0114,Indirect Heater 4.00 MMBTU 10K,KIU,SWT,120,6/1/2014,"197,717.72","119,071.25","78,646.47",,Indirect Heater
I-INH-H0410-0006,J12047-13,Indirect Heater 4.00 MMBTU 10K,KIU,SWT,120,1/31/2013,"197,000.00","148,160.15","48,839.85",Murtaka Base,Indirect Heater
I-INH-H0410-0008,401,Indirect Heater 4.00 MMBTU 10K,KIU,SWT,120,6/1/2012,"190,000.00","150,997.88","39,002.12",,Indirect Heater
I-INH-H0410-0007,IHT-A10038,Indirect Heater 4.00 MMBTU 10K,KIU,SWT,120,9/1/2013,"186,923.14","124,962.79","61,960.35",DNO P-13,Indirect Heater
I-ESD-AAAAA-0011,2639.01.12,ESD Panel,KIU,SWT,120,6/1/2012,"177,039.50","149,758.85","27,280.65",Murtaka Base,ESD
I-SEP-H0314-0012,SEPL-U03,Separator 3 Phase 1440 psi,CEU,SWT,120,11/1/2012,"155,365.63","133,757.37","21,608.26",Murtaka Base,Separator
I-OIM-H0314-0025,MFD-103,"Oil Manifold 3.00"" 1440 psi",KIU,SWT,120,9/1/2011,"155,000.00","152,894.46","2,105.54",,Oil Manifold
I-CHM-H0310-0041,FMF-001012 (MSI-5311-09),"Choke Manifold 3.00"" 10K",KIU,SWT,120,11/1/2010,"144,951.69","144,801.62",150.07,DNO P-13,Choke Manifold
I-CHM-H0310-0042,OS-SWT-CM-090,"Choke Manifold 3.00"" 10K",KIU,SWT,120,11/1/2010,"144,951.69","144,801.62",150.07,Murtaka Base,Choke Manifold
I-CHM-H0310-0019,Q31773-10/SWT-CM-007,"Choke Manifold 3.00"" 10K",KIU,SWT,120,7/1/2012,"143,568.00","138,106.33","5,461.67",Murtaka Base,Choke Manifold
G-FTR-AASWT-0007,J12042-001/FFZ-970,Trailer for SWT Process,KIU,SWT,120,7/1/2014,"142,294.06","85,729.96","56,564.10",Old Base,Separator Trailer
G-FTR-AASWT-0024,SWT-Unit No 7,Trailer for SWT Process,KIU,SWT,120,6/1/2014,"121,963.06","74,754.82","47,208.24",,Separator Trailer
I-ADP-WILDE-0024,PMP-W02,Transfer Air Pump 4000 BPD - Wilden,CEU,SWT,120,6/1/2012,"120,000.00","93,055.68","26,944.32",,Pump Weldon
I-CFL-H0310-0003,COFL-TR027514CLM401 - SWT COFH - 001,"Coflexip Hose 3.00"" 10K",KIU,SWT,120,9/1/2011,"120,000.00","106,613.13","13,386.87",,Coflixp Hose
I-FLH-H0310-0002,IO10658-1/ME1871,"Flow Head 3.00"" 10K",KIU,SWT,120,5/1/2014,"106,652.80","68,541.66","38,111.14",Murtaka Base,Flow Head
I-CHM-H0310-0013,Custman-001058,"Choke Manifold 3.00"" 10K",KIU,SWT,120,12/1/2010,"105,347.52","104,103.61","1,243.91",Old Base,Choke Manifold
I-PSF-AAAAA-4201,SEPL - N - 188,Skid frame - Pump,KIU,SWT,120,3/31/2013,"101,774.50","78,804.45","22,970.05",,Pump
E-STP-HYDRO-0040,N-297 / SWT-ST-006,Surge Tank 100 bbls 150 psi Dual Compartment Vertical,KIU,SWT,120,6/1/2014,"100,999.00","62,080.80","38,918.20",Murtaka Base,Surge Tank
E-STP-HYDRO-0042,SPEL-N283,Surge Tank 100 bbls 150 psi Dual Compartment Vertical,KIU,SWT,120,9/1/2013,"97,429.32","66,110.43","31,318.89",DNO P-13,Surge Tank
F-GEN-N0710-0031,G120116531,Generator 710 KVA  - Volvo Diesel with Canopy and Automatic Transfer Switch,KIU,SWT,120,2/1/2014,"95,550.00","76,978.19","18,571.81",DNO P-13,Generator
I-FLH-H0305-0017,IO8847-2,"Flow Head 3.00"" 5K",CEU,SWT,120,11/1/2015,"95,328.00","41,292.27","54,035.73",Transferred ,Flow Head
I-CIP-AAA10-0039,SWT-CIP-011 / 523254 01 002,Chemical Injection Pump 10K,KIU,SWT,120,6/1/2012,"95,000.00","73,669.08","21,330.92",,Pump Chemical Injection
E-STN-N1000-0186,1000-T-004,Storage Tank 1000 bbls Horizontal with PVRV & Flame arrestor,KIU,SWT,120,8/1/2015,"85,567.00","42,384.06","43,182.94",Murtaka Base,Sto Tank
E-STN-N1000-0188,1000-T-006,Storage Tank 1000 bbls Horizontal with PVRV & Flame arrestor,KIU,SWT,120,8/1/2015,"85,567.00","42,384.06","43,182.94",Murtaka Base,Sto Tank
E-STP-HYDRO-0015,SEPL-N110/SWT-ST-015,Surge Tank 100 bbls 150 psi Dual Compartment Vertical,KIU,SWT,120,9/1/2011,"85,000.00","75,517.29","9,482.71",Murtaka Base,Surge Tank
E-STP-HYDRO-0016,VSTL-13005,Surge Tank 100 bbls 150 psi Dual Compartment Vertical,KIU,SWT,120,9/1/2011,"85,000.00","75,517.29","9,482.71",Murtaka Base,Surge Tank
F-AIC-AAAAA-0113,CAI 1638871,Air Compressor Atlas Copco Model: GX7FF-500 With Integrated Dryer and 500 Litres tank,KIU,SWT,120,12/1/2013,"8,194.75","6,712.28","1,482.47",Murtaka Base,Air Compressor
I-BUH-H0314-0009,BRN-15006,Burner 3 Heads 1440 psi,KIU,SWT,120,6/1/2012,"85,000.00","69,188.81","15,811.19",,Burner
E-STN-AA100-0038,FGTS-A-6370-2/11,Gauge Tank 100 bbls Atmospheric Dual Compartment Horizontal,CEU,SWT,120,12/1/2013,"84,479.74","61,497.62","22,982.12",Murtaka Base,Gauge Tank
F-TRB-AAAAA-0031,SWT-PR-001-1,Basket Piping & Elbows Set No. 1 SIU-SWT,KIU,SWT,120,2/1/2015,"83,064.33","60,669.84","22,394.49",,Pipe Basket
F-TRB-AAAAA-0032,SWT-PR-001-2,Basket Piping & Elbows Set No. 2 SIU-SWT,KIU,SWT,120,2/1/2015,"83,064.33","60,669.84","22,394.49",,Pipe Basket
F-TRB-AAAAA-0033,SWT-PR-002-1,Basket Piping & Elbows Set No. 3 SIU-SWT,KIU,SWT,120,2/1/2015,"83,064.33","60,669.68","22,394.65",,Pipe Basket
F-TRB-AAAAA-0035,SWT-PR-003-1,Basket Piping & Elbows Set No. 5 SIU-SWT,KIU,SWT,120,2/1/2015,"83,064.33","60,669.84","22,394.49",,Pipe Basket
F-TRB-AAAAA-0036,SWT-PR-003-2,Basket Piping & Elbows Set No. 6 SIU-SWT,KIU,SWT,120,2/1/2015,"83,064.33","60,669.68","22,394.65",,Pipe Basket
F-TRB-AAAAA-0038,SWT-PR-004-2,Basket Piping & Elbows Set No. 8 SIU-SWT,KIU,SWT,120,2/1/2015,"83,064.33","60,669.68","22,394.65",DNO P-13,Pipe Basket
F-TRB-AAAAA-0042,SWT-PR-007-2,Basket Piping & Elbows Set No. 12 SIU-SWT,KIU,SWT,120,2/1/2015,"83,064.33","60,669.84","22,394.49",DNO P-13,Pipe Basket
F-TRB-AAAAA-0044,SWT-PR-008-2,Basket Piping & Elbows Set No. 14 SIU-SWT,KIU,SWT,120,2/1/2015,"83,064.33","60,669.68","22,394.65",Murtaka Base,Pipe Basket
F-TRB-AAAAA-0016,PIPB-0007,Basket Piping & Elbows Set No. 1 KIU-SWT,KIU,SWT,120,12/1/2014,"83,064.32","60,780.62","22,283.70",,Pipe Basket
F-TRB-AAAAA-0017,KIU-SWT-15,Basket Piping & Elbows Set No. 2 KIU-SWT,KIU,SWT,120,12/1/2014,"83,064.32","60,780.62","22,283.70",,Pipe Basket
F-TRB-AAAAA-0018,J12014001,Basket Piping & Elbows Set No. 3 KIU-SWT,KIU,SWT,120,12/1/2014,"83,064.32","60,780.62","22,283.70",,Pipe Basket
F-TRB-AAAAA-0019,KIU/SWT/14/4701/SEME/087/20,Basket Piping & Elbows Set No. 1 CEU-SWT,CEU,SWT,120,5/1/2015,"83,064.32","60,351.62","22,712.70",,Pipe Basket
F-TRB-AAAAA-0020,PIPR-0001,Basket Piping & Elbows Set No. 2 CEU-SWT,KIU,SWT,120,5/1/2015,"83,064.32","60,351.62","22,712.70",,Pipe Basket
F-TRB-AAAAA-0021,PIPB-0004,Basket Piping & Elbows Set No. 3 CEU-SWT,KIU,SWT,120,5/1/2015,"83,064.32","60,351.62","22,712.70",,Pipe Basket
F-TRB-AAAAA-0023,PIPB-0006,Basket Piping & Elbows Set No. 5 CEU-SWT,KIU,SWT,120,5/1/2015,"83,064.32","60,351.62","22,712.70",,Pipe Basket
F-TRB-AAAAA-0025,SWT/KIU/1821/13/C130326-1 ,Basket Piping & Elbows Set No. 7 CEU-SWT,CEU,SWT,120,5/1/2015,"83,064.32","60,351.62","22,712.70",,Pipe Basket
F-TRB-AAAAA-0027,PIPB-0003,Basket Piping & Elbows Set No. 9 CEU-SWT,KIU,SWT,120,5/1/2015,"83,064.32","60,351.62","22,712.70",,Pipe Basket
F-TRB-AAAAA-0028,SWT-001-Local made,Basket Piping & Elbows Set No. 10 CEU-SWT,CEU,SWT,120,5/1/2015,"83,064.32","60,351.62","22,712.70",,Pipe Basket
E-STP-HYDRO-0041,N280,Surge Tank 100 bbls 150 psi Dual Compartment Vertical,KIU,SWT,120,6/1/2014,"82,000.00","52,311.50","29,688.50",Murtaka Base,Surge Tank
E-STN-N1000-0187,1000-T-005,Storage Tank 1000 bbls Horizontal with PVRV & Flame arrestor,KIU,SWT,120,8/1/2015,"81,208.50","40,225.13","40,983.37",Murtaka Base,Sto Tank
I-VFS-AAA00-0010,N-434,Gas Flare Stack 60 ft.,KIU,SWT,120,12/1/2014,"81,104.44","49,772.87","31,331.57",,Flare Stack
I-CIP-AAA10-0032,363179.01.004,Chemical Injection Pump 10K,KIU,SWT,120,1/2/2012,"12,000.00","9,699.64","2,300.36",Murtaka Base,Pump Chemical Injection
I-EDP-ELECT-0060,MTCJ0--0192,Transfer Electrical Pump 5000 BPD - MTC,KIU,SWT,120,2/1/2015,"76,160.00","45,472.15","30,687.85",,Pump Electrical
F-LAC-AAANP-0026,AA-8,Lab Cabin Non-Pressurized,KIU,SWT,120,6/1/2012,"75,900.00","58,857.64","17,042.36",DNO P-13,lab  Cabin
F-GEN-N0559-0021,G120101561,Generator 559 KVA  - Volvo Diesel with Canopy,KIU,SWT,120,9/1/2012,"75,500.00","67,397.43","8,102.57",DNO P-13,Generator
F-LAC-AAAAP-0034,SWT-LCB-01,Lab Cabin,KIU,SWT,120,6/1/2012,"75,000.00","58,159.68","16,840.32",,Lab  Cabin
F-LAC-AAAAP-0035,Samp-Lab-002,Lab Cabin Pressurized,KIU,SWT,120,6/1/2012,"75,000.00","58,159.68","16,840.32",,lab  Cabin
I-STB-AAAAA-0003,A-10043,Steam Boiler 50 BPD,KIU,SWT,120,6/1/2012,"75,000.00","61,048.88","13,951.12",Murtaka Base,Boiler
I-BUH-H0314-0008,150300,Burner 3 Heads 1440 psi,KIU,SWT,120,6/1/2012,"69,715.50","53,610.50","16,105.00",Old Base,Burner
I-CIP-AAA10-0042,SWT-CIP-008 / 570155 01 001,Chemical Injection Pump 10K,SIU,SWT,120,10/1/2010,"75,000.00","75,000.00",0.00,Murtaka Base,Pump Chemical Injection
E-STP-HYDRO-0027,N-130/SWT-ST-011,Surge Tank 80 bbls 150 psi Single Compartment Horizontal,KIU,SWT,120,9/1/2011,"68,000.00","56,743.16","11,256.84",,Surge Tank
E-STN-HYDRO-0147,J11018-003,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,6/1/2012,"65,634.34","53,425.29","12,209.05",Murtaka Base,Sto Tank
E-STN-HYDRO-0148,J11018-004,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,6/1/2012,"65,634.34","53,425.29","12,209.05",,Sto Tank
E-STN-HYDRO-0120,SWT-FT-021/A10037-2,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,6/1/2012,"65,000.00","52,909.02","12,090.98",,Sto Tank
E-STN-HYDRO-0122,A10041-1/SWT-FT-015-2,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,6/1/2012,"65,000.00","52,909.02","12,090.98",,Sto Tank
